,Married,Number_of_Dependents,Tenure_in_Months,Phone_Service,Multipl_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Customer_Status
68,Yes,0,21,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
70,No,0,26,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
72,No,0,7,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
73,Yes,0,61,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,Stayed
74,No,0,15,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
76,Yes,0,72,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
78,No,0,66,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Credit Card,Stayed
79,No,0,2,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
80,No,0,44,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
81,No,0,12,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
82,Yes,0,69,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
83,No,0,1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Churned
85,No,0,27,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
87,Yes,0,39,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
88,No,0,25,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
89,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,Churned
90,Yes,0,22,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
91,No,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
93,Yes,0,19,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
95,Yes,0,33,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
96,Yes,1,47,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
97,Yes,3,62,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
98,No,0,71,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
99,Yes,0,7,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
100,Yes,2,27,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Stayed
102,No,0,30,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
103,Yes,0,58,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Churned
104,Yes,0,10,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
105,No,0,9,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
106,Yes,0,6,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
107,Yes,1,69,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,Stayed
108,No,0,66,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
109,No,0,70,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Churned
112,Yes,0,54,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
113,No,0,15,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
117,No,0,30,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Stayed
118,Yes,1,71,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
120,Yes,0,4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
121,No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
123,No,0,4,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
125,No,0,5,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
127,No,0,19,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
128,No,0,72,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,Stayed
131,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
132,No,0,60,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
134,No,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
135,No,0,15,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
136,Yes,0,50,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
137,Yes,1,72,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
138,No,0,46,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,Stayed
139,Yes,1,72,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
140,No,0,67,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
141,Yes,1,48,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
142,No,0,72,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
143,Yes,0,52,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
144,Yes,3,67,Yes,No,Yes,Cable,No,Yes,No,No,No,Yes,One Year,No,Credit Card,Stayed
145,Yes,0,28,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
146,Yes,1,32,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
147,Yes,0,27,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
148,No,0,2,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
149,No,2,9,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
150,Yes,2,50,Yes,Yes,Yes,Cable,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,Stayed
152,Yes,0,32,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
153,Yes,3,16,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
154,Yes,3,67,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
155,Yes,1,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
158,Yes,2,72,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,Stayed
160,Yes,3,8,Yes,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
163,No,1,49,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
166,Yes,6,27,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
167,No,0,35,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
168,Yes,2,54,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
169,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
170,No,0,5,Yes,No,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
171,No,0,19,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Stayed
175,Yes,0,8,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
176,No,0,41,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One Year,No,Mailed Check,Stayed
179,No,0,5,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
181,No,0,71,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,Stayed
183,Yes,0,61,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
184,Yes,0,71,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
186,No,0,6,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
187,No,0,26,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
188,No,0,6,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,Stayed
189,No,0,11,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
190,Yes,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
192,No,0,53,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
193,Yes,0,23,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
194,No,0,2,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
195,No,0,1,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
196,Yes,0,68,Yes,Yes,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
197,No,0,8,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
198,Yes,0,70,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Stayed
199,Yes,3,39,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
200,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
201,No,0,3,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
202,Yes,0,60,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
203,Yes,0,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
204,No,0,3,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
205,Yes,0,55,Yes,Yes,Yes,Cable,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card,Stayed
207,Yes,0,72,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Withdrawal,Stayed
208,No,0,41,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
210,No,0,6,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
211,Yes,0,46,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
213,Yes,0,58,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,Churned
215,Yes,0,31,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
216,Yes,0,11,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
217,No,0,56,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
221,No,0,36,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
222,No,0,32,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
223,Yes,3,71,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
224,Yes,0,17,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
225,Yes,0,18,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
226,No,0,37,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,Stayed
227,Yes,2,28,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
231,Yes,0,36,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
232,No,0,23,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
233,Yes,3,22,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
234,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
235,Yes,0,17,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
236,No,0,3,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
237,Yes,0,58,Yes,No,Yes,Cable,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,Churned
238,Yes,0,67,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
239,No,0,34,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
241,No,0,69,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
243,No,0,20,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Stayed
245,Yes,0,2,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
246,Yes,2,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Churned
247,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
249,No,3,23,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
250,Yes,0,36,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
251,Yes,0,59,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
253,Yes,3,72,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,Stayed
254,No,0,37,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
257,No,2,3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
258,Yes,0,54,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Churned
259,Yes,0,60,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
260,Yes,0,58,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
261,Yes,0,31,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
262,No,0,55,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
263,No,0,1,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Churned
264,Yes,0,49,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
266,No,0,39,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
267,Yes,0,66,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,Stayed
269,Yes,0,51,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Stayed
270,No,0,9,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Two Year,No,Mailed Check,Stayed
273,Yes,0,22,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
274,No,0,15,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
275,Yes,0,28,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Churned
276,Yes,0,47,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
277,No,0,67,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,Stayed
